,track_popularity,danceability,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness_energy_combined
9597,51,0.788,0.222,0.0198,0.0,0.386,0.622,164.96,102867,-1.854
28516,2,0.521,0.0501,0.0352,1.53e-05,0.783,0.32,128.07,185640,-2.1385
26080,57,0.754,0.204,0.404,0.0,0.358,0.554,95.018,251427,-3.5925
11066,16,0.742,0.0615,0.984,5.78e-05,0.0796,0.252,148.005,155676,-3.5534999999999997
26344,26,0.602,0.0271,0.387,0.0,0.413,0.624,113.612,294907,-2.359
25068,27,0.861,0.0636,0.0461,0.00459,0.0998,0.885,101.307,256013,-2.8289999999999997
1848,2,0.713,0.0586,0.113,0.0453,0.175,0.32,101.034,305653,-4.852
7434,1,0.342,0.0411,0.0775,0.107,0.113,0.516,168.021,204375,-3.197
29679,35,0.68,0.0647,0.0854,0.000465,0.155,0.462,125.956,188571,-1.0045
2849,58,0.634,0.0546,0.00499,0.000193,0.0732,0.309,148.024,263716,-2.5589999999999997
7060,46,0.866,0.37,0.152,0.0,0.372,0.723,86.196,232200,-3.1835000000000004
7004,24,0.733,0.0671,0.0423,0.876,0.124,0.568,95.099,160904,-6.2924999999999995
29880,41,0.581,0.0307,0.0747,0.0,0.162,0.323,141.986,226000,-2.5625
13492,61,0.518,0.0452,0.158,0.00765,0.0715,0.576,118.738,170800,-3.132
28233,39,0.868,0.047,0.0781,0.000591,0.128,0.416,123.005,190423,-2.781
16408,38,0.777,0.0304,0.417,0.287,0.113,0.879,126.971,174206,-3.944
28821,43,0.72,0.0379,0.0521,0.0,0.0774,0.423,102.005,173120,-3.7544999999999997
26490,8,0.567,0.139,0.153,3.24e-06,0.0832,0.715,80.933,200973,-3.1944999999999997
9020,92,0.656,0.102,0.558,0.000862,0.215,0.35,128.038,153750,-2.1795
8303,9,0.763,0.116,0.0869,4e-06,0.234,0.398,93.02,234021,-2.7995
14058,52,0.606,0.0417,0.0154,0.905,0.326,0.817,146.15,195307,-3.476
32456,58,0.766,0.0572,0.00785,1.81e-05,0.166,0.66,123.054,200488,-1.3875
8730,19,0.893,0.355,0.107,0.0,0.093,0.608,86.978,225639,-2.3369999999999997
25740,35,0.846,0.0427,0.00643,0.501,0.128,0.576,121.006,174573,-2.6054999999999997
21371,91,0.843,0.0845,0.181,0.0,0.137,0.496,129.972,160627,-3.754
20454,72,0.789,0.0434,0.13,1.09e-05,0.069,0.609,125.91,235493,-1.7624999999999997
10117,63,0.748,0.0601,0.493,0.0,0.499,0.402,130.055,224308,-2.3080000000000003
23053,69,0.58,0.0424,0.294,0.0,0.0948,0.39,112.049,206400,-2.568
17643,82,0.773,0.153,0.283,2.1e-05,0.0828,0.497,112.01,201271,-0.7450000000000001
22444,74,0.772,0.0481,0.491,0.00612,0.144,0.357,118.902,210240,-4.1445
2020,44,0.805,0.0512,0.222,2.2e-06,0.365,0.553,107.009,205371,-3.4844999999999997
13112,2,0.292,0.0373,0.00316,0.00355,0.0891,0.26,124.729,284093,-3.4085
3005,26,0.673,0.0388,0.0342,0.493,0.12,0.616,150.006,188808,-3.014
14320,41,0.758,0.0404,0.0129,0.000102,0.0875,0.34,119.197,254627,-5.695
1873,79,0.767,0.336,0.323,0.0,0.0676,0.72,171.993,258639,-1.8804999999999998
14436,78,0.466,0.304,0.0266,0.0,0.0327,0.661,88.785,313573,-1.6909999999999998
17670,35,0.791,0.11,0.0346,0.0,0.0962,0.275,111.938,163929,-2.462
18663,64,0.749,0.0667,0.535,1.32e-06,0.0803,0.806,173.737,215375,-2.179
19067,61,0.704,0.308,0.348,0.0,0.0739,0.618,189.989,170782,-3.247
2829,80,0.646,0.034,0.0275,0.0,0.312,0.571,123.077,203000,-2.116
5865,54,0.606,0.0583,0.863,0.738,0.0943,0.537,79.983,144000,-4.2055
19217,76,0.742,0.0483,0.0826,0.0,0.364,0.64,95.049,194742,-2.044
26523,3,0.614,0.0832,0.141,0.0,0.0669,0.589,81.003,232347,-5.4585
7519,55,0.704,0.351,0.165,0.0,0.54,0.529,124.087,233840,-1.9834999999999998
10713,68,0.834,0.0486,0.342,0.0,0.108,0.462,113.058,246383,-1.129
29845,23,0.757,0.0724,0.0184,0.0534,0.209,0.0926,119.002,449044,-3.5275
26954,47,0.815,0.091,0.0592,0.685,0.17,0.0977,128.027,153281,-0.5685
30613,1,0.531,0.0433,0.216,0.0,0.054,0.328,77.353,193742,-2.5235
1280,11,0.748,0.198,0.13,0.0,0.111,0.792,110.645,187973,-1.6065
14139,67,0.488,0.0476,0.0204,0.0,0.359,0.706,104.56,257827,-3.3665
21378,70,0.538,0.29,0.139,0.0,0.356,0.534,140.087,214547,-2.3605
9,67,0.642,0.032,0.0567,0.0,0.0919,0.59,124.957,253040,-1.8669999999999998
19371,63,0.752,0.211,0.263,0.0,0.189,0.587,173.974,192333,-2.5385
25738,57,0.511,0.869,0.241,0.0,0.0948,0.405,212.137,253585,-3.09
10402,71,0.762,0.0889,0.00996,9.35e-05,0.111,0.857,100.064,211222,-2.4275
14287,50,0.503,0.0641,0.0273,7.88e-05,0.396,0.92,179.929,224107,-2.4684999999999997
5935,62,0.852,0.105,0.104,0.0,0.0732,0.592,132.089,149413,-3.8245
17468,49,0.687,0.0335,0.00821,0.000102,0.156,0.601,94.01,191489,-2.318
30759,59,0.673,0.0482,0.101,0.00653,0.0966,0.327,135.048,200000,-2.645
5819,33,0.811,0.266,0.0226,0.0,0.0668,0.589,89.93,205340,-3.8235
27832,48,0.713,0.0952,0.00478,0.348,0.0548,0.683,123.995,179693,-1.4395
19522,49,0.715,0.0722,0.19,0.0,0.119,0.7,95.999,165814,-2.2895
31561,51,0.604,0.0597,0.0126,0.0,0.106,0.225,127.991,200625,-0.8099999999999999
27719,52,0.733,0.0991,0.000643,0.373,0.0617,0.63,128.013,374125,-2.6
30707,65,0.7,0.161,0.013,0.0,0.461,0.38,93.012,223107,-1.5665
18583,43,0.47,0.0742,0.00391,0.0,0.979,0.345,124.989,310396,-2.754
13934,2,0.264,0.0582,0.147,0.000181,0.122,0.303,174.112,279417,-4.375
30632,70,0.697,0.0325,0.0792,0.0,0.0893,0.516,100.002,211364,-2.1785
32105,48,0.671,0.0515,0.00072,0.725,0.0992,0.266,123.949,190073,-1.9305
17495,9,0.647,0.0748,0.487,2.45e-06,0.105,0.48,147.847,232893,-4.311999999999999
18249,51,0.397,0.0404,0.206,0.000502,0.113,0.146,157.699,248999,-4.154
21971,80,0.886,0.334,0.077,0.0,0.135,0.408,130.029,158692,-3.7875
6127,3,0.745,0.0486,0.00483,1.13e-05,0.125,0.169,110.966,212027,-2.8775
15839,18,0.497,0.032,1.24e-05,0.357,0.301,0.366,109.041,224496,-4.0385
6040,74,0.68,0.0709,0.0161,0.0,0.261,0.467,150.053,249533,-2.7375
13261,33,0.523,0.0406,0.000173,0.0,0.26,0.587,145.352,228720,-3.7465
15712,72,0.533,0.0995,0.00791,0.0,0.336,0.782,142.018,186813,-0.788
26613,62,0.442,0.0365,0.921,0.00026,0.148,0.116,120.075,231681,-6.295
2251,39,0.831,0.151,0.391,1.92e-05,0.12,0.627,80.02,245667,-3.0959999999999996
3524,2,0.593,0.0318,0.124,0.494,0.116,0.867,156.308,235107,-4.304
