,track_popularity,danceability,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness_energy_combined
7684,32,0.766,0.0425,0.00542,0.0,0.338,0.714,104.963,237083,-2.5325
32648,20,0.656,0.0334,0.0768,0.902,0.188,0.0289,99.989,406212,-3.7875
16977,21,0.756,0.0676,0.554,0.508,0.426,0.568,88.983,144494,-3.9914999999999994
4522,52,0.692,0.0374,0.141,0.0,0.061,0.944,107.229,172307,-2.176
11985,15,0.692,0.0323,0.122,0.0,0.181,0.945,136.024,177200,-2.42
5082,78,0.507,0.0266,0.449,0.0,0.147,0.35,86.046,204427,-2.4690000000000003
14912,14,0.53,0.0577,0.000837,0.0119,0.262,0.433,110.98,290187,-2.0765000000000002
4789,38,0.752,0.0312,0.536,0.0108,0.128,0.426,140.809,192340,-4.644
18380,84,0.554,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067,-4.184
2956,37,0.397,0.113,0.792,0.000151,0.158,0.388,85.915,234480,-3.8605
503,16,0.544,0.245,0.0634,0.0159,0.453,0.491,126.06,193297,-2.0185
30409,83,0.641,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,-1.7674999999999998
29145,44,0.925,0.12,0.00871,0.268,0.0738,0.55,126.013,238611,-2.0675
16154,1,0.447,0.0245,0.00613,0.0078,0.113,0.119,80.071,233013,-3.0454999999999997
1079,70,0.925,0.0658,0.394,0.000128,0.11,0.0922,100.015,183160,-3.012
7867,33,0.925,0.262,0.000171,0.000645,0.139,0.789,100.882,273133,-2.311
7,69,0.542,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,207619,-0.758
18562,83,0.745,0.0774,0.00903,0.465,0.297,0.556,128.031,189818,-1.267
32049,32,0.655,0.0322,0.0826,0.0175,0.11,0.265,125.979,327619,-2.839
109,74,0.625,0.0337,0.22,0.0,0.213,0.479,138.064,248156,-2.027
29643,45,0.678,0.238,0.167,0.00512,0.0941,0.488,109.891,136642,-3.694
12356,70,0.699,0.0278,0.0607,0.0337,0.317,0.676,105.266,221640,-6.012
12641,47,0.312,0.0436,0.0605,0.0,0.118,0.372,153.064,218960,-2.2504999999999997
1432,80,0.755,0.142,0.0991,0.0,0.289,0.714,120.028,199693,-0.9405
14571,74,0.502,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920,-1.822
6001,55,0.513,0.166,0.0611,0.000329,0.091,0.222,139.944,238010,-3.5075
5483,20,0.633,0.0848,0.0684,0.0,0.191,0.755,149.893,187350,-1.5445
